instance_id,penalty_name,penalty_value,alpha,initial_delay_h,solver_name,status,feasible,optimal,runtime_s,mip_gap,best_bound,objective_value,fuel_cost_usd,port_call_cost_usd,strategy_penalty_usd,port_penalty_cost_usd,fueleu_penalty_usd,delay_cost_usd,misconnection_cost_usd,operational_cost_usd,service_cost_usd,recomputed_objective_usd,n_delayed,n_misconnected,n_skipped,n_swapped,n_speed_up,n_expedited,n_omission,n_swap_strategy,total_fuel_t,total_co2_t,total_ets_eur,total_fueleu_penalty_usd,cii_rating,route_valid,strategy_consistent,timeline_monotone,container_valid,skipped_ports_valid,max_constraint_violation,objective_recompute_abs_gap,seed,route_signature,strategy_signature,route_changed_vs_first,strategy_changed_vs_first
speed_up_usd_0,speed_up_usd,0.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.013309699992532842,0.0,410964.0625,410964.0625,818578.125,600.0,2750.0,0.0,0.0,0.0,0.0,821928.125,0.0,410964.0625,0,0,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,7,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
speed_up_usd_250,speed_up_usd,250.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.01147730000957381,0.0,410964.0625,410964.0625,818578.125,600.0,2750.0,0.0,0.0,0.0,0.0,821928.125,0.0,410964.0625,0,0,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,7,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
speed_up_usd_500,speed_up_usd,500.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.010320399989723228,0.0,410964.0625,410964.0625,818578.125,600.0,2750.0,0.0,0.0,0.0,0.0,821928.125,0.0,410964.0625,0,0,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,7,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
speed_up_usd_750,speed_up_usd,750.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.009813199998461641,0.0,410964.0625,410964.0625,818578.125,600.0,2750.0,0.0,0.0,0.0,0.0,821928.125,0.0,410964.0625,0,0,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,7,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
speed_up_usd_1000,speed_up_usd,1000.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.09781269999803044,0.0,410964.0625,410964.0625,818578.125,600.0,2750.0,0.0,0.0,0.0,0.0,821928.125,0.0,410964.0625,0,0,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,7,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
speed_up_usd_1500,speed_up_usd,1500.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.010232400003587827,0.0,410964.0625,410964.0625,818578.125,600.0,2750.0,0.0,0.0,0.0,0.0,821928.125,0.0,410964.0625,0,0,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,7,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
speed_up_usd_2500,speed_up_usd,2500.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.009713299994473346,0.0,410964.0625,410964.0625,818578.125,600.0,2750.0,0.0,0.0,0.0,0.0,821928.125,0.0,410964.0625,0,0,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,7,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
speed_up_usd_5000,speed_up_usd,5000.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.011637399991741404,0.0,410964.0625,410964.0625,818578.125,600.0,2750.0,0.0,0.0,0.0,0.0,821928.125,0.0,410964.0625,0,0,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,7,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
speed_up_usd_0,speed_up_usd,0.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.024033499998040497,0.0,455686.71875,455686.71875,908773.4375,600.0,2000.0,0.0,0.0,0.0,0.0,911373.4375,0.0,455686.71875,0,0,2,0,0,0,2,0,1514.6223958333333,4716.534140624999,306574.719140625,0.0,A,True,True,True,True,True,0.0,0.0,21,0->1->3->4->5->6->7->9,2:PORT_OMISSION|8:PORT_OMISSION,False,False
speed_up_usd_250,speed_up_usd,250.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.011882599996170029,0.0,455686.71875,455686.71875,908773.4375,600.0,2000.0,0.0,0.0,0.0,0.0,911373.4375,0.0,455686.71875,0,0,2,0,0,0,2,0,1514.6223958333333,4716.534140624999,306574.719140625,0.0,A,True,True,True,True,True,0.0,0.0,21,0->1->3->4->5->6->7->9,2:PORT_OMISSION|8:PORT_OMISSION,False,False
